id,section,section_id,submitted,attempt,3308913: Men are more capable than women at solving design and interaction problems.,1.0,3308932: Students who are skilled at human computer interaction are less popular than other students.,1.0.1,3308912: I doubt that a woman could excel in human computer interaction courses.,1.0.2,3308910: I do not like using design and interaction to solve problems.,1.0.3,3308934: I have role models in human computer interaction who look like me.,1.0.4,3308904: Men and women are equally capable of solving design and interaction problems.,1.0.5,3308901: I have little self-confidence when it comes to design and interaction courses.,1.0.6,3308918: A student who performs well in human computer interaction is likely to have a life outside of computers.,1.0.7,3308908: The challenge of solving problems using design and interaction does not appeal to me.,1.0.8,3308924: I am comfortable with learning design and interaction concepts.,1.0.9,3308902: I do not think that I can learn to understand design and interaction concepts.,1.0.10,3308906: I doubt that I can solve problems by applying design skills.,1.0.11,3308923: I can achieve good grades (C or better) in human computer interaction courses.,1.0.12,3308916: Men are more likely to excel in careers that involve design and interaction than women are.,1.0.13,3308930: It is not appropriate for women to study design and interaction.,1.0.14,3308909: I like to use design and interaction to solve problems.,1.0.15,3308925: I am confident that I can solve problems by applying design skills.,1.0.16,3308905: Men and women can both excel in human computer interaction courses.,1.0.17,3308929: I would voluntarily take additional human computer interaction courses if I were given the opportunity.,1.0.18,3308931: A student who performs well in human computer interaction will probably not have a life outside of computers.,1.0.19,3308907: I think design and interaction is boring.,1.0.20,3308914: Design and interaction is an appropriate subject for both men and women to study.,1.0.21,3308921: I was encouraged to pursue a human computer interaction project/course/degree/career.,1.0.22,3308917: Women produce the same quality work in design and interaction as men.,1.0.23,3308928: I hope that I can find a career that does not require the use of design and interaction concepts.,1.0.24,3308911: I think design and interaction is interesting.,1.0.25,3308922: I can learn to understand design and interaction concepts.,1.0.26,3308919: I feel a strong attachment towards my own ethnic group.,1.0.27,3308926: I would not take additional human computer interaction courses if I were given the opportunity.,1.0.28,3308915: Men produce higher quality work in design and interaction than women.,1.0.29,3308933: Students who are skilled at human computer interaction are just as popular as other students.,1.0.30,3308927: The challenge of solving problems using design and interaction appeals to me.,1.0.31,3308903: I hope that my future career will require the use of design and interaction concepts.,1.0.32,3308920: I am active in organizations or social groups that include mostly members of my own ethnic group.,1.0.33,n correct,n incorrect,score
7680659,COSC 341 101 2020W,72450,2021-04-19 06:59:00 UTC,1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,34,1.0
7801377,COSC 341 101 2020W,72450,2021-04-19 06:59:00 UTC,1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,34,1.0
5548935,COSC 341 101 2020W,72450,2021-04-18 21:08:03 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,5,29,1.0
9002921,COSC 341 101 2020W,72450,2021-04-16 09:37:45 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,7,27,1.0
2740813,COSC 341 101 2020W,72450,2021-04-15 02:01:13 UTC,1,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,5,29,1.0
2937460,COSC 341 101 2020W,72450,2021-04-14 22:04:21 UTC,1,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,20,14,1.0
2647670,COSC 341 101 2020W,72450,2021-04-14 05:31:04 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,4,30,1.0
6078374,COSC 341 101 2020W,72450,2021-04-14 03:50:25 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,9,25,1.0
6861978,COSC 341 101 2020W,72450,2021-04-13 18:19:13 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Agree,0.0,8,26,1.0
8393527,COSC 341 101 2020W,72450,2021-04-13 00:18:39 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,3,31,1.0
4950537,COSC 341 101 2020W,72450,2021-04-12 23:53:22 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,16,18,1.0
2154105,COSC 341 101 2020W,72450,2021-04-12 23:24:17 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly DisagreeÂ ,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,10,24,1.0
6772488,COSC 341 101 2020W,72450,2021-04-12 21:33:18 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,17,17,1.0
3005552,COSC 341 101 2020W,72450,2021-04-12 20:36:05 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,7,27,1.0
4411549,COSC 341 101 2020W,72450,2021-04-12 16:24:31 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,8,26,1.0
5991735,COSC 341 101 2020W,72450,2021-04-12 09:58:37 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,6,28,1.0
8371181,COSC 341 101 2020W,72450,2021-04-12 07:09:02 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,8,26,1.0
9744587,COSC 341 101 2020W,72450,2021-04-12 07:06:42 UTC,1,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,4,30,1.0
3630515,COSC 341 101 2020W,72450,2021-04-12 06:45:31 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,5,29,1.0
1607194,COSC 341 101 2020W,72450,2021-04-12 06:42:07 UTC,1,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,5,29,1.0
2631372,COSC 341 101 2020W,72450,2021-04-12 06:22:27 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,4,30,1.0
3360200,COSC 341 101 2020W,72450,2021-04-12 06:04:04 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,16,18,1.0
3777033,COSC 341 101 2020W,72450,2021-04-12 06:02:47 UTC,1,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,9,25,1.0
7624796,COSC 341 101 2020W,72450,2021-04-12 06:02:30 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,18,16,1.0
6827055,COSC 341 101 2020W,72450,2021-04-12 05:42:40 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,9,25,1.0
4466534,COSC 341 101 2020W,72450,2021-04-12 05:25:40 UTC,1,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,14,20,1.0
1702317,COSC 341 101 2020W,72450,2021-04-12 05:17:03 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,7,27,1.0
2618758,COSC 341 101 2020W,72450,2021-04-12 04:44:24 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,6,28,1.0
9742786,COSC 341 101 2020W,72450,2021-04-12 04:19:05 UTC,1,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,14,20,1.0
